company,adress,lat,lon
cardtronics,"48 Harrington Road,LONDON,UK SW7 3ND",51.49403,-0.1778428
cardtronics,"237 Kings Road,London,UK SW3 5EJ",51.48631,-0.1711576
cardtronics,"73 Stockwell Road,LONDON,UK SW9 9PY",51.46926,-0.1194431
cardtronics,"67 Stockwell Road,LONDON,UK SW9 9PY",51.46926,-0.1194431
cardtronics,"57-59 Raven Row,LONDON,UK E1 2EG",51.51918,-0.05686076
cardtronics,"104-105 Bayswater Road,London,UK W2 3HJ",51.51073,-0.1832097
cardtronics,"21-41 Wellington Road,ST JOHN'S WOOD,UK NW8 9SQ",51.53188,-0.1719113
cardtronics,"269 Commercial Road,LONDON,UK E1 2PS",51.51445,-0.05499825
cardtronics,"297-309 Southwark Park,London,UK SE16 2JN",51.49298,-0.05820689
cardtronics,"175 Queenstown Road,BATTERSEA,UK SW8 3RW",51.47194,-0.1491201
cardtronics,"78 Galleywall  Road,LONDON,UK SE16 3PB",51.48991,-0.05958968
cardtronics,"22 Englefield Road,LONDON,UK N1 4JU",51.54272,-0.07969342
cardtronics,"jct of� White Horse Lane, Mile End Road,London,UK E1 4TP",51.52049,-0.05452096
cardtronics,"104-116 Holloway Road,London,UK N7 8JE",51.55032,-0.1089598
cardtronics,"595 Wandsworth Road,London,UK SW8 3JD",51.46939,-0.1407753
cardtronics,"149 Goldsmiths Row,LONDON,UK E2 8QR",51.53383,-0.06450219
